,base_color_a,base_color_b,base_color_lum,base_ori,button,correct_answer,reaction_time,response,task,trial_color,trial_cue,trial_direction,trial_end,trial_orientation,trial_position_x,trial_position_y,trial_start,trial_stimulus,trial_stimulus_label
0,80,75,55,135,s,1.0,2.0250060937287344,-1.0,1,70.0,red135,-1.0,72.401815146940862,3.0,0,0,65.556797678254043,1,red135
1,80,75,55,45,s,1.0,0.93345734604281461,-1.0,1,70.0,red45,-1.0,79.509778901018763,-3.0,0,0,72.66775911885361,0,red45
2,-80,75,55,45,f,1.0,1.441722436749842,1.0,1,-70.0,green45,1.0,86.609400448441193,3.0,0,0,79.764446268998654,2,green45
3,80,75,55,135,s,0.0,2.1417345529343947,-1.0,1,70.0,red135,1.0,93.20904922164209,-3.0,0,0,86.868003153058453,1,red135
4,80,75,55,135,l,0.0,0.78342021350090363,1.0,2,85.0,red135,-1.0,100.30866791819699,-3.0,0,0,93.466927520985337,1,red135
5,-80,75,55,135,f,1.0,0.93344736800918326,1.0,1,-70.0,red135,1.0,106.90829559498252,-4.0,0,0,100.56512933670274,3,green135
6,80,75,55,135,s,0.0,1.1917401833961776,-1.0,1,85.0,red45,1.0,113.51628315380003,-4.0,0,0,107.17655190502046,1,red135
7,-80,75,55,45,l,1.0,0.69178822050253075,1.0,2,-70.0,green45,1.0,120.61589500827449,3.0,0,0,113.77348978890768,2,green45
8,80,75,55,45,l,1.0,0.72511513938570715,1.0,2,100.0,red135,1.0,127.21552268506002,3.0,0,0,120.87540942011947,0,red45
9,-80,75,55,45,l,1.0,0.61676537793300668,1.0,2,-70.0,green135,1.0,134.31519070161266,3.0,0,0,127.47151542105166,2,green45
10,80,75,55,45,l,1.0,0.69177083021440922,1.0,2,100.0,green45,1.0,140.92322672516639,2.0,0,0,134.57630102873554,0,red45
11,-80,75,55,45,f,1.0,0.60850983762884425,1.0,1,-70.0,green45,1.0,147.52278056449995,2.0,0,0,141.18268526002066,2,green45
12,-80,75,55,135,j,1.0,1.9250584071351113,-1.0,2,-55.0,green135,-1.0,154.12244615781492,-4.0,0,0,147.78043393044754,3,green135
13,80,75,55,45,,,,,1,100.0,red135,,160.73036330022023,2.0,0,0,154.38465606429236,0,red45
14,-80,75,55,135,l,0.0,1.408398368734197,1.0,2,-55.0,green135,-1.0,167.33004514347704,-4.0,0,0,160.98893350495564,3,green135
15,-80,75,55,135,l,1.0,1.708338643073148,1.0,2,-55.0,red45,1.0,173.93799678137111,5.0,0,0,167.59223480879973,3,green135
16,-80,75,55,45,f,0.0,1.3917427491769558,1.0,1,-55.0,green45,-1.0,181.04596937313727,2.0,0,0,174.19956182176065,2,green45
17,80,75,55,135,s,0.0,1.1167686564294854,-1.0,1,100.0,red135,1.0,188.15395365345739,5.0,0,0,181.30787366668483,1,red135
18,-80,75,55,45,l,1.0,0.73347103020387294,1.0,2,-70.0,green45,1.0,195.26186096037145,2.0,0,0,188.4200988965722,2,green45
19,80,75,55,45,f,0.0,1.6584173982701031,1.0,1,110.0,red45,-1.0,202.36981131537596,-2.0,0,0,195.52753467010461,0,red45
20,-80,75,55,45,l,1.0,0.75846372485739266,1.0,2,-70.0,green45,1.0,209.4777673721137,2.0,0,0,202.63378932949036,2,green45
21,80,75,55,135,j,1.0,0.86679467058911541,-1.0,2,110.0,green135,-1.0,216.58570005174261,-5.0,0,0,209.7410013099734,1,red135
22,80,75,55,135,l,0.0,0.9000685633482135,1.0,2,110.0,red135,-1.0,223.69368290662987,-5.0,0,0,216.85220649969142,1,red135
