,base_color_a,base_color_b,base_color_lum,base_ori,button,correct_answer,reaction_time,response,task,trial_color,trial_cue,trial_direction,trial_end,trial_orientation,trial_position_x,trial_position_y,trial_start,trial_stimulus,trial_stimulus_label
0,80,75,55,45,s,1,2.1416778206830713,-1,1,70.0,green135,-1.0,134.77113411760638,-3.0,0,0,127.92531755093387,0,red45
1,-80,75,55,135,l,0,0.94172856611385214,1,2,-70.0,red45,-1.0,141.37081253982342,-3.0,0,0,135.02861129998109,3,green135
2,80,75,55,45,j,1,0.78337916101827432,-1,2,70.0,red45,-1.0,148.47044435036605,-3.0,0,0,141.62780222396123,0,red45
3,80,75,55,45,f,0,0.74175850021583756,1,1,70.0,green135,-1.0,155.07004323339606,3.0,0,0,148.72592136453932,0,red45
4,-80,75,55,45,l,1,0.70846208560851665,1,2,-70.0,green45,1.0,162.16966592116478,3.0,0,0,155.32498200390273,2,green45
5,80,75,55,135,l,1,0.87509496950224275,1,2,85.0,green45,1.0,168.76934377320777,4.0,0,0,162.42705073545221,1,red135
6,80,75,55,135,s,0,1.7667038704794322,-1,1,85.0,red135,1.0,175.36899083588833,4.0,0,0,169.02653415837449,1,red135
7,-80,75,55,135,s,1,2.6583449862519046,-1,1,-70.0,green135,-1.0,181.96862050828076,-4.0,0,0,175.62999311515614,3,green135
8,-80,75,55,45,f,0,2.4250716636661309,1,1,-70.0,green45,-1.0,189.06823093732237,3.0,0,0,182.22699428828855,2,green45
9,80,75,55,45,s,1,1.4167095009415789,-1,1,100.0,red45,-1.0,196.16784877861755,-3.0,0,0,189.32465786033845,0,red45
10,-80,75,55,135,l,1,0.71682339307335496,1,2,-85.0,green135,1.0,202.7674918500843,4.0,0,0,196.4282865862433,3,green135
11,80,75,55,45,l,1,0.75843607144815905,1,2,100.0,green45,1.0,209.86707776167077,3.0,0,0,203.02697034100675,0,red45
12,-80,75,55,45,s,1,1.5417505177883868,-1,1,-85.0,green45,-1.0,216.97501557286068,2.0,0,0,210.12823626844329,2,green45
13,80,75,55,135,s,0,1.1001118965250498,-1,1,100.0,red135,1.0,223.57472136339857,4.0,0,0,217.23342156766284,1,red135
14,-80,75,55,45,l,1,0.60013256530965009,1,2,-85.0,green45,1.0,230.17433393058946,2.0,0,0,223.83069870470899,2,green45
15,80,75,55,45,l,1,0.79175814385780541,1,2,111.25,red45,1.0,236.77394820830159,2.0,0,0,230.434659128975,0,red45
16,80,75,55,45,s,0,0.85842737630446209,-1,1,111.25,red45,1.0,243.38195486792665,-2.0,0,0,237.0353872403748,0,red45
17,80,75,55,45,f,0,1.1500838867577841,1,1,122.5,red135,-1.0,249.98995069425746,2.0,0,0,243.64469161460238,0,red45
18,80,75,55,135,f,0,1.4500877354284967,1,1,133.75,green45,-1.0,256.59790489793158,-4.0,0,0,250.25168393579315,1,red135
19,80,75,55,45,l,1,1.3667300984543544,1,2,145.0,green135,1.0,263.20584855339894,2.0,0,0,256.86017723839359,0,red45
20,80,75,55,135,f,0,1.1584166855536751,1,1,145.0,red135,-1.0,269.81382898504853,-4.0,0,0,263.46948560383498,1,red135
21,-80,75,55,135,f,0,0.84180311628279014,1,1,-85.0,green45,-1.0,276.92177420849202,4.0,0,0,270.07591715951003,3,green135
22,-80,75,55,45,f,1,0.9500864525380166,1,1,-96.25,green135,1.0,284.02979155886806,1.0,0,0,277.1876258123184,2,green45
23,80,75,55,135,f,0,1.6417586427596689,1,1,156.25,red135,-1.0,290.63772238543424,4.0,0,0,284.29442071097765,1,red135
24,-80,75,55,45,l,1,0.90009650184401835,1,2,-96.25,green45,1.0,297.74569640263326,1.0,0,0,290.90229765616004,2,green45
25,80,75,55,135,f,0,1.933374100729452,1,1,167.5,red135,-1.0,304.35361183451823,4.0,0,0,298.01168541824336,1,red135
26,-80,75,55,45,s,1,1.4750790046482507,-1,1,-96.25,green45,-1.0,310.97830689866987,-1.0,0,0,304.63292466156599,2,green45
27,-80,75,55,45,s,1,1.0417634892328351,-1,1,-96.25,green45,-1.0,317.58629360222676,1.0,0,0,311.24588926377783,2,green45
28,-80,75,55,45,f,1,0.95012351380682958,1,1,-87.8125,green45,1.0,324.19424552520832,-1.0,0,0,317.84882736718191,2,green45
29,80,75,55,135,l,1,0.78342762575539382,1,2,178.75,red135,1.0,330.80222424633757,4.0,0,0,324.45674564993351,1,red135
30,-80,75,55,135,l,1,0.61674969816431258,1,2,-87.8125,green135,1.0,337.41019469995354,3.0,0,0,331.0704868282819,3,green135
31,80,75,55,135,f,0,1.0167531192046226,1,1,178.75,red135,-1.0,344.51812794975649,3.0,0,0,337.6767088452425,1,red135
32,-80,75,55,135,l,1,0.60839722838773014,1,2,-87.8125,green45,1.0,351.63440625708245,3.0,0,0,344.78982696663479,3,green135
33,80,75,55,135,f,0,1.0417643444934583,1,1,190.0,green135,-1.0,358.26740190523469,-3.0,0,0,351.92880615673221,1,red135
34,-80,75,55,45,f,0,1.8833627685344254,1,1,-87.8125,red135,-1.0,364.87533672301379,1.0,0,0,358.53504641923973,2,green45
35,80,75,55,45,f,0,1.6000738374514185,1,2,201.25,green45,-1.0,371.48333625547184,-1.0,0,0,365.14335042428047,0,red45
36,80,75,55,135,f,1,1.1667480589158004,1,1,201.25,red45,1.0,378.09131412134138,3.0,0,0,371.75094684416126,1,red135
37,-80,75,55,45,s,1,1.183416792461685,-1,1,-96.25,red45,-1.0,385.20761922681595,1.0,0,0,378.36295840157618,2,green45
38,80,75,55,135,f,0,1.0250961811216257,1,2,201.25,red135,-1.0,392.31554306875842,-3.0,0,0,385.47449457693801,1,red135
39,80,75,55,135,l,1,0.77507772175795253,1,2,201.25,red135,1.0,398.93184945712346,3.0,0,0,392.58540869314857,1,red135
40,80,75,55,45,f,0,2.4666555482863259,1,1,201.25,red135,-1.0,406.04815598803179,1.0,0,0,399.20186817306512,0,red45
41,-80,75,55,45,l,1,2.2250519926847119,1,2,-96.25,green45,1.0,412.6561167487007,1.0,0,0,406.31714297525014,2,green45
42,-80,75,55,135,l,0,1.7333407455871566,1,2,-96.25,green135,-1.0,419.27241686515845,-2.0,0,0,412.92885120042865,3,green135
43,-80,75,55,135,s,1,1.491725216345003,-1,1,-96.25,green135,-1.0,426.38867692693657,-3.0,0,0,419.54242731358499,3,green135
44,80,75,55,135,f,0,1.7417202985998301,1,2,209.6875,red45,-1.0,433.00505601240729,-3.0,0,0,426.66052903536638,1,red135
45,-80,75,55,135,l,1,0.77514842325672362,1,2,-96.25,green135,1.0,439.63798837131435,3.0,0,0,433.29355917900739,3,green135
46,80,75,55,45,f,1,1.5249882758098465,1,1,209.6875,green45,1.0,446.26262556286838,1.0,0,0,439.92251685931387,0,red45
47,-80,75,55,135,l,1,0.67514257897983043,1,2,-96.25,green135,1.0,453.39560510362207,3.0,0,0,446.55350492701018,3,green135
48,80,75,55,135,f,0,1.9166831304228253,1,1,209.6875,red135,-1.0,460.02856340541712,3.0,0,0,453.68315180438458,1,red135
49,-80,75,55,135,s,1,1.7751073707731848,-1,1,-96.25,green135,-1.0,466.65323480737425,3.0,0,0,460.31404579347418,3,green135
50,80,75,55,135,l,0,0.80013912230424467,1,2,216.015625,green135,-1.0,473.29447658796835,-3.0,0,0,466.94872573377779,1,red135
51,80,75,55,135,l,0,1.3167595336553859,1,2,216.015625,red135,-1.0,479.92749162201471,-3.75,0,0,473.58345071777694,1,red135
52,80,75,55,45,f,1,1.2917471680202652,1,1,216.015625,red45,1.0,487.06043552693245,-1.0,0,0,480.21548733431155,0,red45
53,80,75,55,45,f,0,1.6833904219429314,1,1,216.015625,red45,-1.0,494.19336175647641,1.0,0,0,487.3503892146,0,red45
54,-80,75,55,45,j,1,1.2584151175769875,-1,2,-89.921875,red135,-1.0,500.82632775561251,-1.0,0,0,494.48029209981996,2,green45
55,-80,75,55,135,l,0,1.2250668171927828,1,2,-89.921875,green135,-1.0,507.95931755948641,-4.3125,0,0,501.11919075292826,3,green135
56,-80,75,55,135,j,1,0.76672582215451257,-1,2,-89.921875,red135,-1.0,514.59227814197584,-4.875,0,0,508.24728105698705,3,green135
57,-80,75,55,45,j,1,1.0417646295800296,-1,2,-89.921875,red135,-1.0,521.72517443741708,-0.0,0,0,514.88425680038654,2,green45
58,-80,75,55,135,s,1,1.8251098652817745,-1,1,-89.921875,green135,-1.0,528.85814998695696,-4.875,0,0,522.01397637486571,3,green135
59,80,75,55,45,j,0,0.82508164170030796,-1,2,220.76171875,red45,1.0,535.99109047083493,0.0,0,0,529.14728005918369,0,red45
60,80,75,55,45,f,1,1.8667231138315401,1,1,220.76171875,red45,1.0,542.63238641790031,-1.0,0,0,536.28681431306177,0,red45
61,80,75,55,45,l,1,1.216752834118779,1,2,220.76171875,red45,1.0,549.76533146316433,1.0,0,0,542.9238165695233,0,red45
62,-80,75,55,45,f,1,1.758383900584704,1,1,-89.921875,green45,1.0,556.39830858068126,-1.0,0,0,550.05637019076585,2,green45
63,-80,75,55,135,l,1,0.82507166366576712,1,2,-89.921875,green135,1.0,563.03960310231287,4.875,0,0,556.69765872557673,3,green135
64,-80,75,55,135,s,1,1.6417207262302327,-1,1,-89.921875,red135,-1.0,569.67261585566666,-4.875,0,0,563.33129781438311,3,green135
65,80,75,55,135,l,0,1.2250790759198935,1,2,220.76171875,red135,-1.0,576.81387716469908,-4.875,0,0,569.96804520334535,1,red135
