,base_color_a,base_color_b,base_color_lum,base_ori,button,correct_answer,reaction_time,response,task,trial_color,trial_cue,trial_direction,trial_end,trial_orientation,trial_position_x,trial_position_y,trial_start,trial_stimulus,trial_stimulus_label
0,80,75,55,135,f,1,1.0917426066334883,1,1,34.0,red135,1.0,268.34906441676321,2.4275000000000002,0,0,262.00553296243561,1,red135
1,80,75,55,135,j,0,2.0250038130343455,-1,2,34.0,red135,1.0,274.94867527343376,2.4275000000000002,0,0,268.6074980649737,1,red135
2,-80,75,55,45,f,1,2.3750569104304304,1,1,-25.0,green45,1.0,282.04832105322384,4.8499999999999996,0,0,275.2040604896938,2,green45
3,-80,75,55,135,s,1,1.2584022886767343,-1,1,-25.0,green135,-1.0,289.14792064897119,3.1500000000000004,0,0,282.30553738128037,3,green135
4,-80,75,55,135,s,1,1.1834110907275317,-1,1,-25.0,green135,-1.0,295.74757113269334,-3.1500000000000004,0,0,289.40395358218666,3,green135
5,80,75,55,45,l,1,1.4583977272886841,1,2,34.0,red45,1.0,302.84715533375856,4.8499999999999996,0,0,296.00558798416569,0,red45
6,80,75,55,135,f,1,2.3500932946190005,1,1,34.0,green135,1.0,309.94677488557318,3.1500000000000004,0,0,303.10385822068929,1,red135
7,80,75,55,45,s,1,1.5751167786347651,-1,1,21.25,red45,-1.0,316.54646784721081,4.8499999999999996,0,0,310.20655528329735,0,red45
8,-80,75,55,135,j,1,1.3084464058410958,-1,2,-12.25,green45,-1.0,323.64605860527081,-3.1500000000000004,0,0,316.80229979430987,3,green135
9,80,75,55,45,s,1,1.8084063511614659,-1,1,21.25,red45,-1.0,330.74566133697044,-4.8499999999999996,0,0,323.90277403601613,0,red45
10,-80,75,55,45,s,1,1.0417526559394901,-1,1,-12.25,green135,-1.0,337.84532621756989,4.8499999999999996,0,0,331.00402314333769,2,green45
11,-80,75,55,135,s,1,1.975050638522589,-1,1,-12.25,green135,-1.0,344.44492224973328,-3.1500000000000004,0,0,338.10555534174091,3,green135
12,-80,75,55,45,f,0,2.3166591831413825,1,2,-12.25,green45,-1.0,351.05290268138378,-4.8499999999999996,0,0,344.70826737140123,2,green45
13,-80,75,55,45,s,0,0.98349946760026796,-1,1,-12.25,red45,1.0,357.66086401222492,-4.8499999999999996,0,0,351.31517673236522,2,green45
14,80,75,55,45,s,0,2.1500793253708252,-1,2,21.25,red45,1.0,364.26050765386572,4.8499999999999996,0,0,357.92021563957132,0,red45
15,-80,75,55,45,j,1,1.491750303974186,-1,2,-25.0,green45,-1.0,370.86014359816545,-4.8499999999999996,0,0,364.5202082273172,2,green45
16,-80,75,55,135,j,0,1.7416610005675466,-1,2,-25.0,green135,1.0,377.45979835818616,3.1500000000000004,0,0,371.12083171190352,3,green135
17,-80,75,55,45,j,1,1.6168263864838082,-1,2,-25.0,green45,-1.0,384.07611529475798,-4.8499999999999996,0,0,377.73513764697964,2,green45
18,80,75,55,45,f,1,1.5668144841129106,1,1,21.25,green135,1.0,390.68406721773863,-4.3279937500000001,0,0,384.33880870825851,0,red45
19,80,75,55,135,s,1,1.1251074420451914,-1,1,8.5,green45,-1.0,397.29206703528325,-3.7641250000000004,0,0,390.94709475283707,1,red135
20,-80,75,55,135,f,1,1.6584125517965731,1,1,-25.0,green135,1.0,403.90003321259974,3.7641250000000004,0,0,397.55591733056281,3,green135
21,80,75,55,135,f,1,2.0416990596422693,1,1,8.5,red135,1.0,411.0079983921114,3.7641250000000004,0,0,404.16537080512717,1,red135
22,-80,75,55,135,s,1,0.87513659215983353,-1,1,-25.0,green45,-1.0,418.11593420769532,3.7641250000000004,0,0,411.27389076333384,3,green135
23,80,75,55,135,f,0,2.2250705233182089,1,1,8.5,red135,-1.0,424.72389952975027,-3.7641250000000004,0,0,418.38032787819975,1,red135
24,-80,75,55,135,l,1,2.8082552552168636,1,2,-25.0,green135,1.0,431.33187682544667,3.7641250000000004,0,0,424.98775125046268,3,green135
25,-80,75,55,45,j,1,1.2500920117290661,-1,2,-25.0,red135,-1.0,438.43985625929236,-4.3279937500000001,0,0,431.59850329489018,2,green45
26,80,75,55,45,j,1,2.0083969433017046,-1,2,21.25,green45,-1.0,445.05613927054947,-4.3279937500000001,0,0,438.71137453121082,0,red45
27,80,75,55,45,l,1,1.1417910000982374,1,2,21.25,red45,1.0,451.66409261896297,4.3279937500000001,0,0,445.3197059045724,0,red45
28,-80,75,55,135,l,1,2.6084260221432487,1,2,-25.0,green135,1.0,458.77203413628013,3.7641250000000004,0,0,451.92781319979986,3,green135
29,-80,75,55,45,j,1,1.3667158441203355,-1,2,-25.0,green45,-1.0,465.88001299995267,-3.8059875000000001,0,0,459.03866089081021,2,green45
30,80,75,55,135,l,1,1.4667068638900673,1,2,21.25,red45,1.0,472.48796292732732,3.7641250000000004,0,0,466.14396678169942,1,red135
31,80,75,55,45,s,1,0.83346946222627594,-1,1,21.25,red135,-1.0,479.10434600401095,-3.8059875000000001,0,0,472.75802554661823,0,red45
32,80,75,55,135,j,1,2.0250348874833435,-1,2,21.25,red135,-1.0,486.21225929774664,-3.2421187500000004,0,0,479.37349263977558,1,red135
33,-80,75,55,135,f,0,1.6751040922754328,1,1,-25.0,red135,-1.0,492.85354298608399,-3.2421187500000004,0,0,486.5068496353033,3,green135
34,80,75,55,135,l,1,1.241756647152215,1,2,21.25,green135,1.0,499.96152470062407,3.2421187500000004,0,0,493.12135456088799,1,red135
35,80,75,55,135,l,1,2.2417010552489955,1,2,21.25,red45,1.0,507.06946593285465,3.2421187500000004,0,0,500.22657064947089,1,red135
36,80,75,55,45,s,1,1.9251057315250364,-1,1,21.25,red45,-1.0,513.67745035571716,-3.8059875000000001,0,0,507.33784055386604,0,red45
37,-80,75,55,135,j,1,1.441802546109102,-1,2,-35.837499999999999,green135,-1.0,520.79369502281406,-2.7201125000000004,0,0,513.94753065038276,3,green135
38,-80,75,55,45,f,1,2.4834243472596427,1,1,-35.837499999999999,green45,1.0,527.40169455527212,3.8059875000000001,0,0,521.06174036870289,2,green45
39,-80,75,55,135,j,1,1.2750365267329471,-1,2,-35.837499999999999,green135,-1.0,534.51793808202274,-2.7201125000000004,0,0,527.67113910662374,3,green135
40,80,75,55,45,s,1,0.71677720902880537,-1,1,21.25,red45,-1.0,541.62590782292136,-3.8059875000000001,0,0,534.78374264654485,0,red45
41,80,75,55,135,l,0,2.0667356576450402,1,2,10.4125,red135,-1.0,548.73384791480566,-2.7201125000000004,0,0,541.89421829943058,1,red135
42,-80,75,55,45,j,1,2.1250250519915426,-1,2,-35.837499999999999,green45,-1.0,555.35016855750473,-3.8059875000000001,0,0,549.00555177815659,2,green45
43,-80,75,55,45,f,0,2.7667109976482607,1,2,-35.837499999999999,green45,1.0,561.96647836691045,3.8059875000000001,0,0,555.62167514086832,2,green45
44,-80,75,55,45,l,1,1.4000592980301008,1,2,-35.837499999999999,green45,1.0,569.0827908846386,3.8059875000000001,0,0,562.24268289380052,2,green45
45,-80,75,55,135,l,0,1.9334160084727046,1,2,-35.837499999999999,green45,-1.0,575.70742950162639,-3.2421187500000004,0,0,569.36861765741378,3,green135
46,80,75,55,45,l,1,2.1666702302500198,1,2,10.4125,green135,1.0,582.34040405336236,3.2839812500000001,0,0,575.9967956256296,0,red45
47,-80,75,55,45,l,1,1.3333461622351024,1,2,-35.837499999999999,red45,1.0,589.46501829543922,3.2839812500000001,0,0,582.62628299700191,2,green45
48,80,75,55,45,f,0,1.6167496981652221,1,1,10.4125,red45,-1.0,596.58961058583918,-3.2839812500000001,0,0,589.74891132521225,0,red45
49,-80,75,55,135,s,1,1.2584479025463224,-1,1,-35.837499999999999,green135,-1.0,603.71424193311577,3.7641250000000004,0,0,596.87505676788714,3,green135
50,80,75,55,135,s,0,0.84176576992649643,-1,2,21.25,red135,1.0,610.83883336825602,3.7641250000000004,0,0,603.99896057393744,1,red135
51,80,75,55,135,l,1,1.7000697036946804,1,2,21.25,red135,1.0,617.47181048577295,3.7641250000000004,0,0,611.12597752661713,1,red135
52,-80,75,55,45,s,1,1.1666445724476944,-1,1,-35.837499999999999,red135,-1.0,624.104802997972,-3.2839812500000001,0,0,617.76238452207326,2,green45
53,80,75,55,45,l,0,1.7500850271044328,1,2,21.25,red45,-1.0,630.73776301028738,-3.2839812500000001,0,0,624.39429227942492,0,red45
54,80,75,55,135,l,1,1.7917233632815623,1,2,21.25,green45,1.0,637.37079514953621,3.7641250000000004,0,0,631.02768077703331,1,red135
55,80,75,55,135,j,0,1.1001136070444772,-1,1,21.25,red45,1.0,644.50364754162729,-3.7641250000000004,0,0,637.65763569057344,1,red135
56,80,75,55,135,s,0,2.1500297202874208,-1,1,21.25,green45,1.0,651.64495275400986,-3.7641250000000004,0,0,644.80243806135331,1,red135
57,80,75,55,135,s,1,1.1834424502631009,-1,1,32.087499999999999,red135,-1.0,658.27793842412575,-3.7641250000000004,0,0,651.93352035020143,1,red135
58,80,75,55,135,l,1,0.9917669815440604,1,2,32.087499999999999,green135,1.0,664.91090841447658,3.7641250000000004,0,0,658.56604902635809,1,red135
59,80,75,55,135,s,1,0.75843749688101525,-1,1,32.087499999999999,red135,-1.0,671.54389864598124,-3.3204196875000003,0,0,665.19827750623335,1,red135
60,80,75,55,45,l,1,1.1167276039450371,1,2,32.087499999999999,green45,1.0,678.17683984257565,3.8059875000000001,0,0,671.83129881218701,0,red45
61,-80,75,55,135,s,1,0.88351357939245645,-1,1,-26.625624999999999,red45,-1.0,684.80982123639296,3.3204196875000003,0,0,678.46813856923654,3,green135
62,80,75,55,135,f,1,1.9000232345642871,1,1,32.087499999999999,red135,1.0,691.94276742200418,3.3204196875000003,0,0,685.10156013689812,1,red135
63,-80,75,55,45,l,1,1.6417714716590126,1,2,-26.625624999999999,red135,1.0,699.07575751096556,3.8059875000000001,0,0,692.23589897097918,2,green45
64,-80,75,55,45,f,1,1.141777315937361,1,1,-26.625624999999999,green45,1.0,706.20866435461357,3.8059875000000001,0,0,699.36850675869209,2,green45
65,-80,75,55,135,j,1,1.2667761399552546,-1,2,-26.625624999999999,red45,-1.0,712.84163890635136,-3.3204196875000003,0,0,706.49948584615959,3,green135
