,base_color_a,base_color_b,base_color_lum,base_ori,button,correct_answer,reaction_time,response,task,trial_color,trial_cue,trial_direction,trial_end,trial_orientation,trial_position_x,trial_position_y,trial_start,trial_stimulus,trial_stimulus_label
0,80,75,55,45,l,0.0,2.374994191359292,1.0,2,34.0,red45,-1.0,63.181306295711693,-3.0,0,0,56.841170223835434,0,red45
1,80,75,55,135,j,1.0,2.1583337253268837,-1.0,2,34.0,red135,-1.0,70.272583355783354,-3.0,0,0,63.431788306028466,1,red135
2,80,75,55,135,l,1.0,1.2000410524833569,1.0,2,34.0,red135,1.0,77.363880371924097,3.0,0,0,70.523140628985857,1,red135
3,80,75,55,45,j,1.0,1.8666877630803356,-1.0,2,34.0,green135,-1.0,84.455161708296146,-4.0,0,0,77.614048786885178,0,red45
4,80,75,55,45,j,1.0,1.9083603096605657,-1.0,2,34.0,red45,-1.0,91.046463143280562,-4.0,0,0,84.705451285099116,0,red45
5,80,75,55,135,j,0.0,2.1666665241227747,-1.0,2,34.0,green45,1.0,98.137748755952998,3.0,0,0,91.296044849837926,1,red135
6,-80,75,55,135,,,,,2,-25.0,green45,,104.72906244966362,4.0,0,0,98.386964411201916,3,green135
7,80,75,55,135,j,1.0,1.0667111401908187,-1.0,2,34.0,red135,-1.0,111.82034236060281,-4.0,0,0,104.97875220407514,1,red135
8,80,75,55,135,l,1.0,0.83338792743415979,1.0,2,34.0,green135,1.0,118.41999027854399,4.0,0,0,112.07425909533413,1,red135
9,-80,75,55,45,j,1.0,2.0749923382954876,-1.0,2,-25.0,red135,-1.0,125.0196316394904,-4.0,0,0,118.6764448549693,2,green45
10,-80,75,55,135,j,1.0,2.7082169110581162,-1.0,2,-25.0,green135,-1.0,131.61927841708348,-4.0,0,0,125.27288155645874,3,green135
11,80,75,55,135,l,1.0,2.1999860307514609,1.0,2,34.0,red135,1.0,138.71890281537344,3.1499999999999999,0,0,131.87317234488,1,red135
12,80,75,55,45,l,1.0,2.2916513788914017,1.0,2,34.0,red45,1.0,145.81019412977912,3.0,0,0,138.96871743775409,0,red45
13,80,75,55,45,l,1.0,1.9166395121592359,1.0,2,34.0,red45,1.0,152.90981225616088,3.0,0,0,146.06380154545514,0,red45
14,-80,75,55,135,j,1.0,1.9583243174656673,-1.0,2,-25.0,green135,-1.0,159.50945732323453,-3.1499999999999999,0,0,153.1648220132538,3,green135
15,-80,75,55,45,l,0.0,1.8417007701627881,1.0,2,-25.0,green45,-1.0,166.10910324556971,-3.0,0,0,159.76597347838469,2,green45
16,80,75,55,135,j,1.0,1.3501702680241578,-1.0,2,34.0,red135,-1.0,173.20870654744249,-3.1499999999999999,0,0,166.36514387612442,1,red135
17,-80,75,55,135,j,1.0,1.5917028370404296,-1.0,2,-25.0,green45,-1.0,179.80004247791658,-2.2999999999999998,0,0,173.46105416504543,3,green135
18,-80,75,55,135,j,0.0,2.2916496683719743,-1.0,2,-25.0,green135,1.0,186.39969125111747,2.2999999999999998,0,0,180.05835610463146,3,green135
19,-80,75,55,45,j,1.0,2.9832819464591012,-1.0,2,-25.0,red135,-1.0,192.9993003972686,-4.0,0,0,186.65607256026306,2,green45
20,-80,75,55,135,l,1.0,1.6417004850754893,1.0,2,-25.0,green135,1.0,200.09895387439792,3.1499999999999999,0,0,193.25923616723776,3,green135
21,-80,75,55,135,l,1.0,1.5333607016546011,1.0,2,-25.0,green135,1.0,207.19861561904327,3.1499999999999999,0,0,200.35488759744476,3,green135
22,80,75,55,45,l,0.0,1.8833425273787725,1.0,2,34.0,green45,-1.0,214.29818927190172,-4.0,0,0,207.45284937017095,0,red45
23,80,75,55,135,l,1.0,1.0250388786971598,1.0,2,34.0,green135,1.0,220.89783490915033,3.1499999999999999,0,0,214.55733050527306,1,red135
24,80,75,55,45,j,1.0,3.0082868998397316,-1.0,2,34.0,red45,-1.0,227.49748111657027,-4.8499999999999996,0,0,221.15326260332586,0,red45
25,80,75,55,45,j,1.0,0.99171224490237364,-1.0,2,34.0,green45,-1.0,234.59709838769231,-4.8499999999999996,0,0,227.75578162929924,0,red45
26,-80,75,55,45,j,1.0,1.6083621627240063,-1.0,2,-25.0,green45,-1.0,241.7050550146032,-4.8499999999999996,0,0,234.86229286670277,2,green45
27,-80,75,55,135,j,1.0,1.2167100711158128,-1.0,2,-25.0,green135,-1.0,248.3046955202899,-2.4275000000000002,0,0,241.96145485438501,3,green135
28,-80,75,55,45,l,0.0,1.7583990101793461,1.0,2,-25.0,green45,-1.0,254.90436253903863,-4.1274999999999995,0,0,248.56316252364377,2,green45
29,-80,75,55,135,l,1.0,1.6416830947873677,1.0,2,-25.0,red45,1.0,262.0039795250741,2.4275000000000002,0,0,255.16179353736879,3,green135
30,80,75,55,135,l,1.0,1.2167177684550552,1.0,2,34.0,red135,1.0,268.60362573249404,2.4275000000000002,0,0,262.26285249187094,1,red135
31,80,75,55,135,j,1.0,2.0249938350007142,-1.0,2,34.0,green45,-1.0,275.71154529813612,-1.7050000000000003,0,0,268.86868336989573,1,red135
32,80,75,55,45,l,1.0,1.2083795530124917,1.0,2,34.0,red45,1.0,282.81119906035383,4.8499999999999996,0,0,275.97099813125533,0,red45
33,-80,75,55,45,l,1.0,0.74172856611403404,1.0,2,-25.0,green45,1.0,289.41084327216777,4.8499999999999996,0,0,283.07126654037347,2,green45
34,80,75,55,135,j,1.0,1.6833487992862501,-1.0,2,34.0,red135,-1.0,296.01048805415485,-1.7050000000000003,0,0,289.67139939076878,1,red135
35,-80,75,55,45,j,1.0,1.2166901150467311,-1.0,2,-25.0,green45,-1.0,303.1184492424527,-4.8499999999999996,0,0,296.27420378851639,2,green45
36,80,75,55,135,j,0.0,1.1250338896807079,-1.0,2,34.0,green45,1.0,309.72641427942108,1.7050000000000003,0,0,303.3812515590671,1,red135
