,base_color_a,base_color_b,base_color_lum,base_ori,button,correct_answer,reaction_time,response,task,trial_color,trial_cue,trial_direction,trial_end,trial_orientation,trial_position_x,trial_position_y,trial_start,trial_stimulus,trial_stimulus_label
0,80,75,55,135,j,0.0,1.9499650056095561,-1.0,2,15.04553125,green45,1.0,87.155884545592926,3.8306807968749998,0,0,80.81021380076163,1,red135
1,-80,75,55,135,l,0.0,1.3584340758425242,1.0,1,-19.970045312499998,green135,-1.0,94.263897049495426,4.2078303124999996,0,0,87.419082847616664,3,green135
2,80,75,55,135,s,1.0,1.5917581438570778,-1.0,1,15.04553125,red135,-1.0,101.36349778558906,-4.2078303124999996,0,0,94.520878751205601,1,red135
3,-80,75,55,135,j,1.0,2.2500389856049878,-1.0,2,-19.970045312499998,green135,-1.0,107.96315112017692,-4.2078303124999996,0,0,101.62197391171685,3,green135
4,80,75,55,135,s,1.0,1.2417295639170334,-1.0,1,15.04553125,red135,-1.0,114.56277052944824,4.2078303124999996,0,0,108.21943664019636,1,red135
5,80,75,55,45,f,1.0,1.7083885332431237,1.0,1,15.04553125,green135,1.0,121.16239934658006,-3.8625599273437494,0,0,114.82119676540606,0,red45
6,-80,75,55,45,f,0.0,2.1666705153365911,1.0,1,-19.970045312499998,green45,-1.0,127.76205980833583,3.8625599273437494,0,0,121.42161042619045,2,green45
7,-80,75,55,45,f,1.0,2.5916751836321055,1.0,1,-26.625624999999999,green45,1.0,134.36168292373441,-3.8625599273437494,0,0,128.01995378744687,2,green45
8,80,75,55,45,l,0.0,1.9833723189367447,1.0,2,7.2154374999999993,red45,-1.0,141.46968174347603,-3.8625599273437494,0,0,134.62956348951775,0,red45
9,-80,75,55,135,j,0.0,1.0917668390029576,-1.0,2,-26.625624999999999,green135,1.0,148.56929701899026,4.2078303124999996,0,0,141.72859319697636,3,green135
10,80,75,55,135,j,1.0,1.1751834889200836,-1.0,2,7.2154374999999993,green135,-1.0,155.66886268942108,-4.5284074007812496,0,0,148.83010059283697,1,red135
11,80,75,55,135,f,1.0,1.5250467185815069,1.0,1,7.2154374999999993,green135,1.0,162.76848594736293,4.5284074007812496,0,0,155.92723875012234,1,red135
12,80,75,55,45,s,1.0,1.8750741581734474,-1.0,1,7.2154374999999993,red45,-1.0,169.8681619463423,-4.1831370156249994,0,0,163.02642782103976,0,red45
13,-80,75,55,135,j,1.0,1.1750814278857433,-1.0,2,-26.625624999999999,green135,-1.0,176.47613582099984,-4.5284074007812496,0,0,170.12940854490262,3,green135
