,base_color_a,base_color_b,base_color_lum,base_ori,button,correct_answer,reaction_time,response,task,trial_color,trial_cue,trial_direction,trial_end,trial_orientation,trial_position_x,trial_position_y,trial_start,trial_stimulus,trial_stimulus_label
0,-80,75,55,45,l,1.0,1.0667225436573062,1.0,2,-19.970045312499998,red45,1.0,332.15025408351175,3.8625599273437494,0,0,325.30878508882597,2,green45
1,80,75,55,45,,,,,1,15.04553125,green45,,336.95825133527615,3.8625599273437494,0,0,332.40811043118083,0,red45
